pruning_level,i2t_top1,top1_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,cka_vision,cka_text,npr_vision,coordinate error,superordinate error,domain error,domain collapse
0.0,0.7605882287025452,0.7605882287025452,0.8094117647058824,0.8817647058823529,0.8243026855881528,1.0,1.0,1.0,0,206,124,77
0.05,0.7523529529571533,0.7523529529571533,0.8064705882352942,0.88,0.8191626152106256,0.9966217875480652,0.9998974800109863,0.8125882352941176,0,217,125,79
0.1,0.748235285282135,0.748235285282135,0.7929411764705883,0.8658823529411764,0.8108422593842144,0.9189187288284302,0.9991711378097534,0.4854117647058824,0,200,124,104
0.15,0.7188235521316528,0.7188235521316528,0.7776470588235294,0.8458823529411764,0.7885089260988916,0.8097137212753296,0.9980505704879761,0.3557647058823529,0,216,113,149
0.2,0.6764705777168274,0.6764705777168274,0.7517647058823529,0.8035294117647059,0.7529175559158258,0.6993939280509949,0.9967228174209595,0.2630588235294118,0,216,168,166
0.25,0.5958823561668396,0.5958823561668396,0.6988235294117647,0.7370588235294118,0.6920681406732445,0.5913163423538208,0.9934030175209045,0.21823529411764706,0,240,200,247
0.3,0.4394117593765259,0.4394117593765259,0.611764705882353,0.6652941176470588,0.5721258620752565,0.4637301564216614,0.9879612326622009,0.1868235294117647,0,384,214,355
0.35,0.27705880999565125,0.27705880999565125,0.4435294117647059,0.4888235294117647,0.43368965247555213,0.3890962600708008,0.9809319376945496,0.17141176470588235,0,360,204,665
0.4,0.1764705926179886,0.1764705926179886,0.2741176470588235,0.38235294117647056,0.33486691321942186,0.35651421546936035,0.9576600193977356,0.17188235294117646,0,350,310,740
0.45,0.09058823436498642,0.09058823436498642,0.14176470588235293,0.3035294117647059,0.2555187867207763,0.2867644131183624,0.9170665740966797,0.17423529411764707,0,362,397,787
0.5,0.057058822363615036,0.057058822363615036,0.16941176470588235,0.2535294117647059,0.20584532432196792,0.26294538378715515,0.8488670587539673,0.1696470588235294,0,334,473,796
0.55,0.06882353127002716,0.06882353127002716,0.24294117647058824,0.25823529411764706,0.20897971064882828,0.2340467870235443,0.7172802090644836,0.16647058823529412,0,322,459,802
0.6,0.06705882400274277,0.06705882400274277,0.11176470588235295,0.28823529411764703,0.21002697994047473,0.19517497718334198,0.7104009985923767,0.16588235294117648,0,376,361,849
0.65,0.05999999865889549,0.05999999865889549,0.13058823529411764,0.24176470588235294,0.2012302104854008,0.190968319773674,0.6618620753288269,0.16929411764705882,0,309,397,892
0.7,0.048235293477773666,0.048235293477773666,0.1511764705882353,0.24764705882352941,0.20065764253047988,0.16665144264698029,0.7202263474464417,0.16247058823529412,0,339,261,1018
0.75,0.05882352963089943,0.05882352963089943,0.23529411764705882,0.23529411764705882,0.2038182968991792,0.1398078352212906,0.7356938123703003,0.16141176470588237,0,300,400,900
0.8,0.0752941146492958,0.0752941146492958,0.2,0.25823529411764706,0.21167718743194522,0.11735136806964874,0.8159486055374146,0.16070588235294117,0,311,362,899
0.85,0.052352942526340485,0.052352942526340485,0.1111764705882353,0.24705882352941178,0.19119437060440525,0.11557688564062119,0.8344370126724243,0.1551764705882353,0,331,378,902
